ticker,period,period_type,is_estimate,metric,value,name,sector
000660,2025.06,quarterly,0,per,7.37,SK하이닉스,반도체_메모리
000660,2025.09,quarterly,0,per,7.09,SK하이닉스,반도체_메모리
000660,2025.12,quarterly,0,per,11.04,SK하이닉스,반도체_메모리
000660,2026.03,quarterly,1,per,27.49,SK하이닉스,반도체_메모리
000660,2023.12,annual,0,bps,77752.0,SK하이닉스,반도체_메모리
000660,2024.12,annual,0,bps,107256.0,SK하이닉스,반도체_메모리
000660,2025.12,annual,0,bps,174538.0,SK하이닉스,반도체_메모리
000660,2026.12,annual,1,bps,413817.0,SK하이닉스,반도체_메모리
000660,2024.12,quarterly,0,bps,107256.0,SK하이닉스,반도체_메모리
000660,2025.03,quarterly,0,bps,117947.0,SK하이닉스,반도체_메모리
000660,2025.06,quarterly,0,bps,126196.0,SK하이닉스,반도체_메모리
000660,2025.09,quarterly,0,bps,144811.0,SK하이닉스,반도체_메모리
000660,2025.12,quarterly,0,bps,174538.0,SK하이닉스,반도체_메모리
000660,2026.03,quarterly,1,bps,,SK하이닉스,반도체_메모리
000660,2023.12,annual,0,pbr,1.82,SK하이닉스,반도체_메모리
000660,2024.12,annual,0,pbr,1.62,SK하이닉스,반도체_메모리
000660,2025.12,annual,0,pbr,3.73,SK하이닉스,반도체_메모리
000660,2026.12,annual,1,pbr,2.96,SK하이닉스,반도체_메모리
000660,2024.12,quarterly,0,pbr,1.62,SK하이닉스,반도체_메모리
000660,2025.03,quarterly,0,pbr,1.62,SK하이닉스,반도체_메모리
000660,2025.06,quarterly,0,pbr,2.31,SK하이닉스,반도체_메모리
000660,2025.09,quarterly,0,pbr,2.4,SK하이닉스,반도체_메모리
000660,2025.12,quarterly,0,pbr,3.73,SK하이닉스,반도체_메모리
000660,2026.03,quarterly,1,pbr,,SK하이닉스,반도체_메모리
000660,2023.12,annual,0,dps,1200.0,SK하이닉스,반도체_메모리
000660,2024.12,annual,0,dps,2204.0,SK하이닉스,반도체_메모리
000660,2025.12,annual,0,dps,3000.0,SK하이닉스,반도체_메모리
000660,2026.12,annual,1,dps,4560.0,SK하이닉스,반도체_메모리
000660,2024.12,quarterly,0,dps,1304.0,SK하이닉스,반도체_메모리
000660,2025.03,quarterly,0,dps,375.0,SK하이닉스,반도체_메모리
000660,2025.06,quarterly,0,dps,375.0,SK하이닉스,반도체_메모리
000660,2025.09,quarterly,0,dps,375.0,SK하이닉스,반도체_메모리
000660,2025.12,quarterly,0,dps,1875.0,SK하이닉스,반도체_메모리
000660,2026.03,quarterly,1,dps,,SK하이닉스,반도체_메모리
000660,2023.12,annual,0,dividend_yield,0.85,SK하이닉스,반도체_메모리
000660,2024.12,annual,0,dividend_yield,1.27,SK하이닉스,반도체_메모리
000660,2025.12,annual,0,dividend_yield,0.46,SK하이닉스,반도체_메모리
000660,2026.12,annual,1,dividend_yield,,SK하이닉스,반도체_메모리
000660,2024.12,quarterly,0,dividend_yield,0.75,SK하이닉스,반도체_메모리
000660,2025.03,quarterly,0,dividend_yield,0.2,SK하이닉스,반도체_메모리
000660,2025.06,quarterly,0,dividend_yield,0.13,SK하이닉스,반도체_메모리
000660,2025.09,quarterly,0,dividend_yield,0.11,SK하이닉스,반도체_메모리
000660,2025.12,quarterly,0,dividend_yield,0.29,SK하이닉스,반도체_메모리
000660,2026.03,quarterly,1,dividend_yield,,SK하이닉스,반도체_메모리
000660,2023.12,annual,0,payout_ratio,-9.06,SK하이닉스,반도체_메모리
000660,2024.12,annual,0,payout_ratio,7.68,SK하이닉스,반도체_메모리
000660,2025.12,annual,0,payout_ratio,4.88,SK하이닉스,반도체_메모리
000660,2026.12,annual,1,payout_ratio,,SK하이닉스,반도체_메모리
000660,2024.12,quarterly,0,payout_ratio,11.25,SK하이닉스,반도체_메모리
000660,2025.03,quarterly,0,payout_ratio,3.19,SK하이닉스,반도체_메모리
000660,2025.06,quarterly,0,payout_ratio,3.7,SK하이닉스,반도체_메모리
000660,2025.09,quarterly,0,payout_ratio,2.06,SK하이닉스,반도체_메모리
000660,2025.12,quarterly,0,payout_ratio,8.66,SK하이닉스,반도체_메모리
000660,2026.03,quarterly,1,payout_ratio,,SK하이닉스,반도체_메모리
042700,2023.12,annual,0,revenue,1590.0,한미반도체,반도체_메모리
042700,2024.12,annual,0,revenue,5589.0,한미반도체,반도체_메모리
042700,2025.12,annual,0,revenue,5767.0,한미반도체,반도체_메모리
042700,2026.12,annual,1,revenue,8260.0,한미반도체,반도체_메모리
042700,2024.12,quarterly,0,revenue,1496.0,한미반도체,반도체_메모리
042700,2025.03,quarterly,0,revenue,1474.0,한미반도체,반도체_메모리
042700,2025.06,quarterly,0,revenue,1800.0,한미반도체,반도체_메모리
042700,2025.09,quarterly,0,revenue,1662.0,한미반도체,반도체_메모리
042700,2025.12,quarterly,0,revenue,830.0,한미반도체,반도체_메모리
042700,2026.03,quarterly,1,revenue,,한미반도체,반도체_메모리
042700,2023.12,annual,0,operating_profit,346.0,한미반도체,반도체_메모리
042700,2024.12,annual,0,operating_profit,2554.0,한미반도체,반도체_메모리
042700,2025.12,annual,0,operating_profit,2514.0,한미반도체,반도체_메모리
042700,2026.12,annual,1,operating_profit,4070.0,한미반도체,반도체_메모리
042700,2024.12,quarterly,0,operating_profit,719.0,한미반도체,반도체_메모리
042700,2025.03,quarterly,0,operating_profit,696.0,한미반도체,반도체_메모리
042700,2025.06,quarterly,0,operating_profit,863.0,한미반도체,반도체_메모리
042700,2025.09,quarterly,0,operating_profit,678.0,한미반도체,반도체_메모리
042700,2025.12,quarterly,0,operating_profit,276.0,한미반도체,반도체_메모리
042700,2026.03,quarterly,1,operating_profit,,한미반도체,반도체_메모리
042700,2023.12,annual,0,net_profit,2672.0,한미반도체,반도체_메모리
042700,2024.12,annual,0,net_profit,1526.0,한미반도체,반도체_메모리
042700,2025.12,annual,0,net_profit,2140.0,한미반도체,반도체_메모리
042700,2026.12,annual,1,net_profit,4030.0,한미반도체,반도체_메모리
042700,2024.12,quarterly,0,net_profit,564.0,한미반도체,반도체_메모리
042700,2025.03,quarterly,0,net_profit,547.0,한미반도체,반도체_메모리
042700,2025.06,quarterly,0,net_profit,647.0,한미반도체,반도체_메모리
042700,2025.09,quarterly,0,net_profit,657.0,한미반도체,반도체_메모리
042700,2025.12,quarterly,0,net_profit,289.0,한미반도체,반도체_메모리
042700,2026.03,quarterly,1,net_profit,,한미반도체,반도체_메모리
042700,2023.12,annual,0,op_margin,21.74,한미반도체,반도체_메모리
042700,2024.12,annual,0,op_margin,45.69,한미반도체,반도체_메모리
042700,2025.12,annual,0,op_margin,43.59,한미반도체,반도체_메모리
042700,2026.12,annual,1,op_margin,49.27,한미반도체,반도체_메모리
042700,2024.12,quarterly,0,op_margin,48.09,한미반도체,반도체_메모리
042700,2025.03,quarterly,0,op_margin,47.24,한미반도체,반도체_메모리
042700,2025.06,quarterly,0,op_margin,47.94,한미반도체,반도체_메모리
042700,2025.09,quarterly,0,op_margin,40.8,한미반도체,반도체_메모리
042700,2025.12,quarterly,0,op_margin,33.28,한미반도체,반도체_메모리
042700,2026.03,quarterly,1,op_margin,,한미반도체,반도체_메모리
042700,2023.12,annual,0,net_margin,168.02,한미반도체,반도체_메모리
042700,2024.12,annual,0,net_margin,27.3,한미반도체,반도체_메모리
042700,2025.12,annual,0,net_margin,37.11,한미반도체,반도체_메모리
042700,2026.12,annual,1,net_margin,48.79,한미반도체,반도체_메모리
042700,2024.12,quarterly,0,net_margin,37.72,한미반도체,반도체_메모리
042700,2025.03,quarterly,0,net_margin,37.15,한미반도체,반도체_메모리
