ticker,name,updated,actual_period,est_period,q_period,q_est_period,per,pbr,eps,bps,roe,op_margin,net_margin,dividend_yield,payout_ratio,debt_ratio,revenue,operating_profit,net_profit,per_est,pbr_est,eps_est,bps_est,roe_est,op_margin_est,net_margin_est,dividend_yield_est,payout_ratio_est,debt_ratio_est,revenue_est,operating_profit_est,net_profit_est,per_q,pbr_q,eps_q,bps_q,roe_q,op_margin_q,net_margin_q,dividend_yield_q,payout_ratio_q,debt_ratio_q,revenue_q,operating_profit_q,net_profit_q,per_q_est,pbr_q_est,eps_q_est,bps_q_est,roe_q_est,op_margin_q_est,net_margin_q_est,dividend_yield_q_est,payout_ratio_q_est,debt_ratio_q_est,revenue_q_est,operating_profit_q_est,net_profit_q_est
009140,경인전자,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,8.41,0.33,2437.0,61271.0,4.88,2.84,10.61,2.44,17.14,8.57,361.0,10.0,38.0,,,,,,,,,,,,,,8.41,0.33,192.0,61271.0,4.88,1.37,3.3,2.44,217.92,8.57,91.0,1.0,3.0,,,,,,,,,,,,,
066570,LG전자,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,17.27,0.69,5321.0,132659.0,4.28,2.78,1.37,1.47,25.37,140.33,892009.0,24784.0,12204.0,13.44,0.92,9486.0,138174.0,7.01,3.91,2.21,,,,926222.0,36245.0,20476.0,17.27,0.69,-4599.0,132659.0,4.28,-0.46,-3.04,0.92,-18.56,140.33,238522.0,-1090.0,-7259.0,29.97,,3613.0,,,5.93,4.4,,,,233177.0,13818.0,10270.0
032750,삼진,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,8.73,0.31,431.0,12237.0,3.58,3.93,2.62,2.39,20.88,16.12,1483.0,58.0,39.0,,,,,,,,,,,,,,8.73,0.31,-62.0,12237.0,3.58,1.48,-1.29,2.39,-143.95,16.12,438.0,6.0,-6.0,,,,,,,,,,,,,
175140,휴먼테크놀로지,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,-5.44,2.51,-756.0,1641.0,-43.7,-20.96,-33.17,,,50.13,555.0,-116.0,-184.0,,,,,,,,,,,,,,-5.44,2.51,-266.0,1641.0,-43.7,-2.57,-38.91,,,50.13,170.0,-4.0,-66.0,,,,,,,,,,,,,
092600,앤씨앤,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,1.13,0.35,497.0,1595.0,43.8,-17.05,2.77,,,55.1,1026.0,-175.0,28.0,,,,,,,,,,,,,,1.13,0.35,929.0,1595.0,43.8,-4.27,89.96,,,55.1,271.0,-12.0,244.0,,,,,,,,,,,,,
082850,우리바이오,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,-10.52,0.47,-193.0,4337.0,-4.5,0.09,-0.97,0.98,-10.07,191.54,10440.0,10.0,-102.0,,,,,,,,,,,,,,-10.52,0.47,-20.0,4337.0,-4.5,0.06,-0.84,0.98,-96.62,191.54,2508.0,2.0,-21.0,,,,,,,,,,,,,
051360,토비스,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,5.82,0.84,2691.0,18607.0,16.58,8.93,6.99,2.24,12.21,82.82,6403.0,572.0,447.0,,,,,,,,,,,,,,5.82,0.84,608.0,18607.0,16.58,6.56,6.95,2.24,54.64,82.82,1555.0,102.0,108.0,,,,,,,,,,,,,
108320,LX세미콘,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,9.67,0.71,5081.0,69207.0,7.49,6.64,5.04,3.05,29.52,24.36,16391.0,1089.0,826.0,10.88,0.89,5964.0,72552.0,8.41,6.19,6.01,,,,16150.0,1000.0,970.0,9.67,0.71,1160.0,69207.0,7.49,6.39,4.84,3.05,129.31,24.36,3898.0,249.0,189.0,,,,,,6.19,,,,,4360.0,270.0,
137080,나래나노텍,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,1.09,0.37,3613.0,10520.0,41.45,-16.22,73.33,,,70.82,545.0,-88.0,400.0,,,,,,,,,,,,,,1.06,0.37,4508.0,10520.0,42.7,2.25,316.04,,,70.82,158.0,4.0,499.0,,,,,,,,,,,,,
110990,디아이티,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,9.07,1.14,1607.0,12787.0,13.5,21.37,28.15,2.88,25.64,12.39,1079.0,231.0,304.0,,,,,,,,,,,,,,9.07,1.14,360.0,12787.0,13.5,2.66,25.38,2.88,114.57,12.39,268.0,7.0,68.0,,,,,,,,,,,,,
088130,동아엘텍,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,1.36,0.39,2811.0,9726.0,33.57,19.44,16.53,3.92,5.34,107.76,5824.0,1132.0,963.0,,,,,,,,,,,,,,1.36,0.39,1019.0,9726.0,33.57,22.95,14.42,3.92,14.72,107.76,2390.0,549.0,345.0,,,,,,,,,,,,,
