ticker,name,sector,fy,ocf,capex_ppe,capex_intangible,capex,fcf,depr,marcap,pfr
366030,공구우먼,기타,2025,6399934746.0,196405490.0,117140000.0,313545490.0,6086389256.0,1429840373.0,131618868500.0,21.63
475580,에이럭스,기타,2025,-160087787.0,3031389048.0,811474650.0,3842863698.0,-4002951485.0,,131344036000.0,
089600,KT나스미디어,기타,2025,35289833979.0,351795191.0,626162440.0,977957631.0,34311876348.0,,131182968420.0,3.82
021320,KCC건설,기타,2025,112941704675.0,9901739304.0,467988.0,9902207292.0,103039497383.0,7508523128.0,130968000000.0,1.27
008040,사조동아원,기타,2025,37833636897.0,3536262937.0,56100000.0,3592362937.0,34241273960.0,,130699899600.0,3.82
021820,세원정공,기타,2025,60355129621.0,20010290941.0,100045000.0,20110335941.0,40244793680.0,7784573768.0,130200000000.0,3.24
100590,머큐리,기타,2025,11021875098.0,1019435447.0,3100000.0,1022535447.0,9999339651.0,,130089146550.0,13.01
004080,신흥,기타,2025,1927087418.0,3513281688.0,6358636.0,3519640324.0,-1592552906.0,,130002000000.0,
011280,태림포장,기타,2025,-33133149000.0,,,0.0,-33133149000.0,33810079000.0,129645676140.0,
310200,애니플러스,기타,2025,85644590005.0,1290782968.0,30530451954.0,31821234922.0,53823355083.0,,129624647460.0,2.41
066310,큐에스아이,기타,2025,4745721814.0,1625220899.0,0.0,1625220899.0,3120500915.0,,129617261580.0,41.54
331920,셀레믹스,기타,2025,-3597118847.0,165787350.0,,165787350.0,-3762906197.0,,129401745800.0,
014710,사조씨푸드,기타,2025,-34381798575.0,3342269414.0,13746209.0,3356015623.0,-37737814198.0,4381181924.0,129139072500.0,
205100,엑셈,기타,2025,10661662905.0,616538157.0,282371749.0,898909906.0,9762752999.0,,129002721975.0,13.21
322510,제이엘케이,의료AI,2025,-12342197502.0,,,0.0,-12342197502.0,,128886718920.0,
131030,옵투스제약,기타,2025,16225200857.0,44514930091.0,526377389.0,45041307480.0,-28816106623.0,4708398652.0,128820107000.0,
360070,탑머티리얼,기타,2025,782189169.0,32286210753.0,48214029.0,32334424782.0,-31552235613.0,,128769602390.0,
263720,디앤씨미디어,기타,2025,15054205467.0,199018574.0,1500958069.0,1699976643.0,13354228824.0,,128470316850.0,9.62
065450,빅텍,기타,2025,9095811131.0,4583267489.0,3594810631.0,8178078120.0,917733011.0,,128454222065.0,139.97
090850,현대이지웰,기타,2025,24217985422.0,413197847.0,16832824328.0,17246022175.0,6971963247.0,,128230349400.0,18.39
141000,비아트론,기타,2025,26976804251.0,748097367.0,1340277326.0,2088374693.0,24888429558.0,,128173631800.0,5.15
016710,대성홀딩스,기타,2025,55626718303.0,28491987673.0,299880000.0,28791867673.0,26834850630.0,,128072093640.0,4.77
083420,그린케미칼,기타,2025,16665226396.0,11901342968.0,,11901342968.0,4763883428.0,,127920000000.0,26.85
